Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
Washing Machine,Bosch,2,13.9,Heavy,14.0,5,49990,8,21424.29
Washing Machine,Bosch,3,13.5,Moderate,14.0,4,36861,8,13427.94
Tablet,Lenovo,5,6.8,Light,7.8,4,33918,5,9984.07
Air Conditioner,Blue Star,2,8.8,Heavy,8.9,5,55827,4,30736.21
Smartphone,Realme,5,4.6,Moderate,5.5,5,59999,11,500.0
Microwave,Panasonic,4,8.5,Light,9.3,3,6632,5,2146.49
Tablet,Samsung,3,6.3,Moderate,6.800000000000001,3,11787,6,887.49
Smartphone,Samsung,1,4.3,Light,4.5,5,98972,4,10996.89
Electric Scooter,Ola,1,7.2,Moderate,7.300000000000001,4,112728,1,82692.94
Tablet,Apple,2,5.1,Heavy,5.2,1,41115,6,500.0
Gaming Console,Microsoft,1,4.0,Moderate,4.1000000000000005,3,77536,11,500.0
DSLR Camera,Canon,1,7.8,Moderate,7.9,4,147087,12,500.0
Refrigerator,Samsung,2,10.5,Light,10.9,3,40514,8,7545.27
Gaming Console,Nintendo,4,4.3,Light,5.1,5,46215,5,906.18
TV,Samsung,1,14.4,Light,14.6,2,72608,3,31728.7
TV,Samsung,4,8.1,Moderate,8.8,3,108139,1,67095.33
Microwave,IFB,1,6.6,Heavy,6.5,3,16094,6,866.6
DSLR Camera,Canon,3,8.8,Light,9.4,5,133995,9,5701.91
Refrigerator,Whirlpool,1,13.9,Heavy,13.799999999999999,1,76583,7,15094.62
Gaming Console,Microsoft,4,5.9,Heavy,6.4,4,56064,6,3083.52
Gaming Console,Nintendo,1,5.7,Moderate,5.800000000000001,2,62389,8,500.0
Tablet,Huawei,4,6.8,Moderate,7.5,2,42373,2,14293.83
Smartwatch,Apple,3,3.4,Light,4.0,5,22475,6,500.0
Microwave,Samsung,3,5.2,Moderate,5.700000000000001,3,28569,12,500.0
Refrigerator,Bosch,4,10.4,Moderate,11.100000000000001,4,76460,1,59135.95
Smartwatch,Samsung,4,3.4,Light,4.2,1,31194,4,500.0
Tablet,Apple,5,3.6,Heavy,4.3,3,25598,4,1142.98
DSLR Camera,Nikon,3,6.5,Light,7.1,2,73094,8,500.0
Tablet,Apple,1,5.8,Heavy,5.7,4,75395,9,500.0
Washing Machine,Whirlpool,4,8.7,Moderate,9.4,5,38405,4,22062.45
Laptop,Dell,4,5.3,Light,6.1,3,120825,4,29116.84
Electric Scooter,TVS,1,4.6,Light,4.8,4,136057,6,500.0
Air Conditioner,Voltas,3,13.2,Light,13.799999999999999,4,58180,11,10033.94
Washing Machine,LG,1,8.7,Moderate,8.799999999999999,2,18363,8,918.15
DSLR Camera,Fujifilm,1,5.9,Moderate,6.000000000000001,2,46409,7,500.0
TV,Samsung,1,13.1,Heavy,12.999999999999998,2,122143,8,25837.94
Microwave,LG,1,7.4,Heavy,7.300000000000001,4,13319,2,8219.47
Air Conditioner,LG,3,10.0,Light,10.6,1,27784,4,6919.79
Washing Machine,IFB,1,14.3,Light,14.5,3,57419,4,29105.49
Electric Scooter,Bajaj,2,4.5,Moderate,4.800000000000001,5,92969,12,500.0
Microwave,Samsung,3,9.3,Heavy,9.6,5,21427,12,500.0
Washing Machine,Whirlpool,4,11.5,Light,12.3,3,25380,9,4766.49
DSLR Camera,Sony,5,9.9,Light,10.9,2,128623,3,59662.19
Laptop,Asus,1,3.9,Moderate,3.9999999999999996,1,75472,3,7547.2
Laptop,Asus,5,3.8,Light,4.8,5,91413,8,500.0
Electric Scooter,Bajaj,1,7.7,Light,7.9,3,136655,11,500.0
Air Conditioner,Blue Star,2,9.3,Moderate,9.600000000000001,4,42808,8,6064.47
Refrigerator,LG,4,11.4,Heavy,11.9,1,35457,11,1072.65
DSLR Camera,Nikon,5,6.3,Heavy,7.0,5,165064,12,500.0
Gaming Console,Nintendo,5,4.4,Heavy,5.1000000000000005,5,71081,4,15331.2
Refrigerator,Bosch,1,11.0,Heavy,10.899999999999999,5,37471,7,13407.06
Washing Machine,LG,5,10.2,Light,11.2,5,32725,9,6428.12
Smartwatch,Apple,1,2.6,Light,2.8000000000000003,5,37117,4,500.0
Air Conditioner,Carrier,1,13.8,Heavy,13.7,5,55433,3,43294.39
Smartwatch,Noise,4,4.4,Heavy,4.9,5,40228,7,500.0
Gaming Console,Sony,3,6.0,Light,6.6,5,70998,10,500.0
Smartphone,Vivo,3,2.6,Heavy,2.9000000000000004,1,28268,12,500.0
Washing Machine,Bosch,3,11.8,Light,12.4,2,59071,3,24628.8
Laptop,HP,5,6.2,Heavy,6.9,2,112758,12,500.0
Washing Machine,Bosch,2,11.5,Moderate,11.8,5,38666,7,15728.54
Smartphone,Realme,3,3.2,Moderate,3.7,5,57078,2,26225.03
Laptop,Asus,2,4.9,Moderate,5.200000000000001,1,145434,2,35799.14
DSLR Camera,Fujifilm,5,9.0,Moderate,9.9,2,193185,6,48706.04
Washing Machine,LG,5,13.5,Heavy,14.2,2,28817,3,12500.9
Microwave,Panasonic,5,7.3,Light,8.3,5,8526,8,500.0
DSLR Camera,Nikon,1,6.1,Heavy,6.0,4,190744,4,55951.57
Gaming Console,Microsoft,2,5.2,Light,5.6000000000000005,3,70446,7,500.0
TV,OnePlus,2,10.2,Light,10.6,5,57219,12,500.0
Gaming Console,Microsoft,2,4.5,Moderate,4.800000000000001,2,71657,12,500.0
Washing Machine,Samsung,4,9.7,Moderate,10.4,1,19351,5,4019.05
Tablet,Huawei,3,4.3,Moderate,4.800000000000001,5,69967,2,40814.08
TV,Sony,2,11.1,Heavy,11.2,4,149055,4,81447.91
DSLR Camera,Sony,3,8.5,Light,9.1,4,64727,12,500.0
DSLR Camera,Fujifilm,1,9.9,Light,10.1,2,65792,11,500.0
Tablet,Lenovo,5,4.8,Heavy,5.5,4,65958,5,4916.87
Tablet,Samsung,4,6.7,Moderate,7.4,2,73392,12,500.0
Air Conditioner,Blue Star,3,10.6,Moderate,11.1,2,54182,6,13691.94
Gaming Console,Microsoft,1,5.5,Light,5.7,4,30970,12,500.0
Gaming Console,Nintendo,3,5.0,Light,5.6,1,33877,5,1887.43
Air Conditioner,Carrier,5,12.1,Heavy,12.799999999999999,2,39360,6,11500.5
Washing Machine,Bosch,1,13.0,Moderate,13.1,5,15288,5,9452.89
Air Conditioner,Daikin,1,9.5,Heavy,9.399999999999999,3,44159,12,500.0
Laptop,Acer,5,5.6,Heavy,6.3,2,109348,5,12410.13
Electric Scooter,Bajaj,4,6.7,Moderate,7.4,3,110554,10,500.0
Microwave,LG,5,8.5,Light,9.5,3,14992,10,500.0
Smartphone,Samsung,2,4.5,Light,4.9,3,89527,6,500.0
Refrigerator,LG,4,12.9,Moderate,13.600000000000001,1,52811,3,16464.61
Gaming Console,Microsoft,5,4.5,Heavy,5.2,2,57562,4,8501.46
Washing Machine,LG,4,14.1,Moderate,14.8,2,58539,7,16968.4
Refrigerator,LG,2,10.6,Moderate,10.9,5,33169,2,27082.94
Electric Scooter,TVS,5,4.4,Light,5.4,4,121991,10,500.0
Laptop,Lenovo,3,5.3,Heavy,5.6000000000000005,4,120308,5,10956.62
Air Conditioner,Blue Star,1,13.2,Moderate,13.299999999999999,4,33430,4,19869.48
DSLR Camera,Nikon,4,7.0,Light,7.8,3,168747,6,29595.63
TV,Sony,4,8.7,Moderate,9.4,3,171470,2,94490.91
Gaming Console,Microsoft,3,4.6,Heavy,4.8999999999999995,4,71002,2,36979.0
Air Conditioner,LG,4,11.9,Light,12.700000000000001,5,25499,11,3413.25
Tablet,Lenovo,4,6.0,Moderate,6.7,2,70876,1,27736.85
Microwave,Samsung,5,7.3,Moderate,8.200000000000001,3,11301,3,5016.54
Smartphone,Xiaomi,4,2.6,Light,3.4000000000000004,2,54156,11,500.0
Smartphone,OnePlus,2,2.7,Light,3.1,3,44520,8,500.0
Gaming Console,Microsoft,1,4.8,Light,5.0,3,37241,1,22642.53
Gaming Console,Sony,2,5.4,Moderate,5.700000000000001,1,36452,1,15629.59
Microwave,Panasonic,3,8.6,Moderate,9.1,4,10435,3,5945.66
Tablet,Samsung,5,3.9,Moderate,4.800000000000001,3,65303,5,500.0
DSLR Camera,Fujifilm,5,8.0,Light,9.0,1,147573,5,34105.76
Washing Machine,Samsung,4,11.2,Light,12.0,1,18418,7,3069.67
Gaming Console,Nintendo,2,5.1,Heavy,5.2,3,68994,12,500.0
Microwave,Samsung,3,9.1,Heavy,9.399999999999999,5,8645,3,5885.96
Smartwatch,Amazfit,5,4.5,Light,5.5,3,5755,5,500.0
Smartwatch,Noise,3,4.5,Heavy,4.8,5,47370,1,37501.25
Electric Scooter,Ather,4,5.5,Light,6.3,3,70820,11,500.0
Tablet,Huawei,2,6.8,Moderate,7.1000000000000005,2,59019,4,11853.68
TV,Sony,5,9.4,Moderate,10.3,1,155337,7,19907.27
Washing Machine,Bosch,4,10.5,Moderate,11.200000000000001,3,17671,7,4638.64
Tablet,Samsung,5,4.9,Heavy,5.6000000000000005,5,35347,9,500.0
Smartwatch,Noise,1,4.3,Moderate,4.4,2,39668,2,9953.06
DSLR Camera,Canon,1,8.1,Light,8.299999999999999,3,134998,12,500.0
Air Conditioner,Carrier,5,10.8,Heavy,11.5,4,41213,6,16753.98
Laptop,Apple,1,3.8,Light,4.0,4,66374,5,500.0
Smartphone,Apple,4,3.3,Light,4.1,2,85018,10,500.0
Air Conditioner,Voltas,3,11.4,Heavy,11.7,4,55136,10,6809.53
Smartphone,OnePlus,4,3.0,Heavy,3.5,4,106647,10,500.0
Microwave,LG,2,7.3,Moderate,7.6000000000000005,5,16877,10,500.0
Smartwatch,Amazfit,3,3.1,Moderate,3.6,1,30451,5,500.0
Microwave,Panasonic,1,9.1,Heavy,8.999999999999998,1,23677,6,3156.93
Tablet,Lenovo,4,7.0,Heavy,7.5,5,75408,2,55299.2
TV,LG,5,12.2,Light,13.2,4,187058,6,86726.89
Smartwatch,Amazfit,5,2.1,Moderate,3.0,1,7429,3,500.0
Electric Scooter,Hero,4,6.0,Light,6.8,2,85833,12,500.0
TV,OnePlus,4,11.8,Moderate,12.500000000000002,4,44911,8,13742.77
Air Conditioner,Voltas,1,13.1,Heavy,12.999999999999998,4,47840,3,31280.0
Smartwatch,Apple,2,2.4,Moderate,2.6999999999999997,5,26176,2,6786.37
Smartwatch,Amazfit,2,2.4,Light,2.8,2,25800,4,500.0
Smartphone,Vivo,3,3.4,Light,4.0,5,70218,3,17554.5
TV,Sony,4,8.6,Heavy,9.1,3,185270,3,86934.38
TV,LG,4,13.4,Light,14.200000000000001,2,110792,6,35188.16
Laptop,Apple,4,4.1,Moderate,4.8,2,115730,6,500.0
Smartphone,Apple,4,4.6,Light,5.3999999999999995,4,40587,1,27118.13
Gaming Console,Microsoft,3,5.6,Moderate,6.1,1,71360,7,500.0
Smartwatch,Samsung,3,4.4,Moderate,4.9,2,6004,7,500.0
Laptop,Apple,3,6.9,Light,7.5,5,46488,4,21694.4
Laptop,Apple,1,6.7,Heavy,6.6000000000000005,5,46579,5,11291.88
Refrigerator,Whirlpool,1,14.7,Light,14.899999999999999,1,55338,5,14707.28
Air Conditioner,Voltas,4,11.1,Heavy,11.6,3,43575,1,27872.97
Smartphone,Vivo,3,3.7,Moderate,4.200000000000001,3,85319,12,500.0
TV,Samsung,4,11.9,Moderate,12.600000000000001,4,125235,11,13517.43
Smartwatch,Amazfit,2,2.6,Light,3.0,1,43641,10,500.0
Tablet,Huawei,5,6.5,Heavy,7.2,3,32116,8,500.0
Smartwatch,Noise,5,2.6,Heavy,3.3000000000000003,3,24236,7,500.0
Tablet,Apple,5,3.5,Moderate,4.4,5,73515,7,500.0
TV,OnePlus,2,14.8,Light,15.200000000000001,3,65429,8,21694.88
DSLR Camera,Sony,1,7.5,Moderate,7.6000000000000005,3,197486,8,500.0
Air Conditioner,LG,4,13.6,Heavy,14.1,4,55035,7,23555.76
Electric Scooter,Ola,3,5.4,Moderate,5.9,5,86291,2,57039.81
Laptop,Acer,4,7.0,Moderate,7.7,3,142743,6,22060.28
Microwave,IFB,5,6.1,Moderate,7.0,3,10721,6,1072.1
Washing Machine,Bosch,4,12.2,Heavy,12.7,5,23020,10,4894.02
Electric Scooter,Ather,4,7.2,Moderate,7.9,3,107212,12,500.0
Gaming Console,Microsoft,1,6.6,Light,6.8,4,56950,12,500.0
Washing Machine,IFB,3,13.9,Heavy,14.2,5,28878,1,26844.34
Washing Machine,Bosch,3,9.6,Moderate,10.1,5,43934,3,30884.3
Smartphone,OnePlus,5,2.4,Light,3.4,4,112460,11,500.0
Refrigerator,Godrej,4,12.3,Moderate,13.000000000000002,3,74216,5,31969.97
Tablet,Apple,3,4.3,Moderate,4.800000000000001,1,27448,1,6084.31
TV,Sony,5,12.1,Light,13.1,1,58460,4,16243.85
Tablet,Huawei,3,4.8,Moderate,5.300000000000001,4,46540,3,16561.22
TV,Samsung,3,14.6,Light,15.2,1,58280,10,7975.16
Washing Machine,LG,4,10.1,Moderate,10.8,3,59038,9,6887.77
Smartwatch,Boat,5,2.9,Light,3.9,2,24862,7,500.0
Microwave,Panasonic,4,8.2,Moderate,8.9,4,14413,2,9498.01
Washing Machine,LG,2,12.6,Moderate,12.9,5,15055,8,5718.57
Tablet,Apple,2,4.3,Light,4.7,2,55887,12,500.0
Refrigerator,Bosch,2,9.0,Moderate,9.3,4,75646,2,50471.34
DSLR Camera,Sony,1,8.1,Light,8.299999999999999,3,159986,6,33693.44
Electric Scooter,Hero,2,6.9,Moderate,7.200000000000001,1,63049,1,21716.88
Refrigerator,Bosch,1,15.0,Moderate,15.1,3,65908,7,24748.24
Gaming Console,Sony,1,5.0,Heavy,4.9,3,66595,7,500.0
Laptop,HP,3,6.7,Heavy,7.000000000000001,3,101001,10,500.0
Tablet,Huawei,5,3.9,Light,4.9,1,69648,4,3581.9
Gaming Console,Nintendo,3,4.4,Light,5.0,5,42237,3,16894.8
Smartphone,Apple,4,2.5,Light,3.3,1,50146,9,500.0
Smartphone,OnePlus,3,3.0,Moderate,3.5,2,102340,3,6725.2
Refrigerator,Samsung,2,12.8,Light,13.200000000000001,4,46909,10,9666.1
DSLR Camera,Fujifilm,3,7.9,Moderate,8.4,2,180947,12,500.0
Microwave,IFB,4,6.7,Light,7.5,4,24274,7,1375.53
Gaming Console,Sony,3,6.8,Light,7.4,2,61621,12,500.0
Laptop,Dell,4,5.0,Light,5.8,2,35151,5,2666.63
Electric Scooter,Ola,2,4.1,Heavy,4.2,2,93332,11,500.0
Laptop,Dell,5,5.6,Moderate,6.5,5,148906,7,500.0
Tablet,Lenovo,5,4.0,Heavy,4.7,1,37762,1,8323.71
Smartphone,Samsung,3,4.4,Moderate,4.9,5,102055,6,500.0
Gaming Console,Microsoft,2,3.9,Heavy,4.0,4,53644,12,500.0
DSLR Camera,Nikon,3,6.9,Light,7.5,4,87081,5,25543.76
Washing Machine,IFB,3,9.9,Light,10.5,1,29565,11,500.0
Refrigerator,Samsung,4,11.8,Light,12.600000000000001,3,40553,11,3604.71
Smartwatch,Samsung,3,5.0,Heavy,5.3,1,26915,4,1848.5
Microwave,Morphy Richards,1,8.7,Moderate,8.799999999999999,2,28002,11,500.0
TV,LG,1,10.4,Moderate,10.5,1,39863,5,8352.25
Washing Machine,Bosch,2,9.2,Moderate,9.5,5,22585,11,500.0
Electric Scooter,Ather,5,6.9,Moderate,7.800000000000001,2,84436,10,500.0
Tablet,Huawei,2,5.4,Heavy,5.500000000000001,4,20154,5,1502.39
Refrigerator,Whirlpool,2,8.9,Heavy,9.0,4,59545,10,500.0
Smartwatch,Noise,5,3.4,Light,4.4,1,46513,9,500.0
Smartwatch,Samsung,1,4.4,Heavy,4.300000000000001,2,31598,7,500.0
Smartphone,Vivo,3,2.8,Heavy,3.1,1,99441,5,500.0
Gaming Console,Sony,2,5.4,Heavy,5.500000000000001,1,40064,2,13257.54
Washing Machine,LG,2,12.5,Heavy,12.6,1,22755,2,7657.24
TV,Sony,3,10.7,Moderate,11.2,2,191902,2,86698.58
Refrigerator,Godrej,4,13.5,Moderate,14.200000000000001,2,49688,3,21554.79
Microwave,LG,1,7.7,Moderate,7.800000000000001,1,13153,5,1888.64
Smartphone,Realme,1,4.2,Light,4.4,1,74070,8,500.0
Air Conditioner,Voltas,1,13.2,Heavy,13.099999999999998,5,27027,10,6395.7
DSLR Camera,Fujifilm,3,9.4,Moderate,9.9,1,179777,1,84041.21
Electric Scooter,TVS,1,7.5,Moderate,7.6000000000000005,3,62263,4,20645.1
DSLR Camera,Nikon,1,8.3,Heavy,8.2,1,183597,11,500.0
Refrigerator,Samsung,4,9.8,Moderate,10.500000000000002,2,21136,10,553.56
Refrigerator,Bosch,5,8.1,Moderate,9.0,1,77724,7,6908.8
Smartwatch,Apple,4,2.7,Heavy,3.2,4,6985,4,500.0
Electric Scooter,Hero,2,5.9,Moderate,6.200000000000001,3,142485,12,500.0
Air Conditioner,Blue Star,5,13.6,Heavy,14.299999999999999,1,48682,2,16749.33
Microwave,LG,1,5.8,Light,6.0,1,20141,4,2685.47
Smartphone,Samsung,3,2.1,Heavy,2.4000000000000004,1,59190,4,500.0
Washing Machine,LG,2,10.0,Light,10.4,4,16612,9,1900.8
Gaming Console,Sony,2,3.6,Light,4.0,4,53843,1,35536.38
Washing Machine,IFB,1,15.0,Moderate,15.1,2,22749,3,10026.13
Smartwatch,Samsung,4,2.9,Moderate,3.6,2,3432,5,500.0
TV,OnePlus,4,14.3,Moderate,15.000000000000002,1,71591,8,13363.65
Smartwatch,Boat,4,4.1,Heavy,4.6,1,7111,11,500.0
TV,Samsung,1,14.7,Light,14.899999999999999,4,105313,8,41453.74
Refrigerator,Samsung,5,10.6,Heavy,11.299999999999999,1,43887,2,14447.76
Washing Machine,Bosch,5,12.7,Heavy,13.399999999999999,3,40017,4,19650.14
Tablet,Samsung,4,5.1,Moderate,5.8,4,27546,8,500.0
Gaming Console,Nintendo,1,6.5,Moderate,6.6000000000000005,4,42807,7,500.0
TV,OnePlus,5,9.2,Light,10.2,1,15265,2,4908.75
Air Conditioner,Daikin,2,10.5,Heavy,10.6,5,45100,5,23826.42
Air Conditioner,LG,4,11.1,Light,11.9,4,51079,5,25174.65
Microwave,Samsung,3,6.3,Moderate,6.800000000000001,4,5800,5,1305.0
Refrigerator,Bosch,1,10.0,Heavy,9.899999999999999,2,26267,8,2772.63
Microwave,LG,5,9.1,Heavy,9.799999999999999,4,18088,8,2823.94
Microwave,Samsung,3,6.0,Moderate,6.5,5,15660,3,8432.31
Laptop,Dell,1,5.5,Light,5.7,5,117811,4,35136.61
Microwave,LG,3,9.3,Light,9.9,3,17889,3,8727.66
Refrigerator,Samsung,5,11.5,Moderate,12.4,3,54660,10,7405.55
TV,TCL,4,14.4,Light,15.200000000000001,2,141990,11,21578.74
Tablet,Samsung,1,3.7,Light,3.9000000000000004,5,73189,2,35656.18
Microwave,Morphy Richards,5,8.0,Light,9.0,4,10132,7,1913.82
TV,OnePlus,1,8.1,Moderate,8.2,1,67939,4,13919.21
Tablet,Lenovo,5,4.4,Moderate,5.300000000000001,2,62927,12,500.0
Gaming Console,Microsoft,3,4.7,Light,5.300000000000001,3,66325,12,500.0
